"<p>This will create a new Sales Invoice Additional Fields document for the invoice '{0}' and submit it to ZATCA. <strong>Make sure you have updated any bad configuration that lead to the initial rejection</strong>.</p><p>Do you want to proceed?</p>","<p>سيقوم هذا بإنشاء مستند حقول إضافية لفاتورة المبيعات للفاتورة '{0}' وإرساله إلى هيئة الزكاة. <strong>تأكد من تحديث أي إعدادات خاطئة أدت إلى الرفض الأولي</strong>.</p><p>هل ترغب في المتابعة؟</p>"
"<pre style=""display:inline;"">JAVA_HOME</pre> path used for running the CLI. Leave blank to use the default system Java installation","مسار <pre style=""display:inline;"">JAVA_HOME</pre> المستخدم لتشغيل واجهة سطر الأوامر (CLI). اتركه فارغاً لاستخدام تثبيت Java الافتراضي للنظام"
About,حول
Accepted,مقبول
Accepted with warnings,مقبول مع وجود تحذيرات
Active,نشط
Additional Buyer IDs,معرفات المشتري الإضافية
Additional IDs,معرفات إضافية
Additional Number,الرقم الإضافي
Additional Seller IDs,معرفات البائع الإضافية
Additional Street,الشارع الإضافي
Additional Street Name,اسم الشارع الإضافي
Address,العنوان
Administrator,مسؤول النظام
Allowance Indicator,مؤشر الخصم
Allowance VAT Category Code,رمز فئة الضريبة للخصم
Amended From,معدل من
Automatic,تلقائي
Automatic Setup Configuration,تكوين الإعداد التلقائي
Batches,دفعات
Both,كلاهما
Building Number,رقم المبنى
Business Settings,إعدادات الأعمال
Business Settings ID Reference,مرجع معرف إعدادات الأعمال
Buyer,المشتري
Buyer Address Details,تفاصيل عنوان المشتري
Buyer ID,معرف المشتري
Buyer VAT Registration Number,الرقم الضريبي للمشتري
CLI,واجهة سطر الأوامر (CLI)
CLI Path,مسار CLI
CLI Setup,إعداد CLI
CSR,طلب توقيع الشهادة (CSR)
Charge Indicator,مؤشر الرسوم
Charge VAT Category Code,رمز فئة الضريبة للرسوم
Check ZATCA CLI,التحقق من ZATCA CLI
City,المدينة
Clearance switched off,تم إيقاف الفسح (Clearance)
Code for Allowance Reason,رمز سبب الخصم
Company,الشركة
Company Address,عنوان الشركة
Company Category,فئة الشركة
Company Unit,وحدة الشركة
Company Unit Serial,التسلسل لوحدة الشركة
Compliance API Error,خطأ في واجهة برمجة تطبيقات الامتثال (API)
Compliance Request ID,معرف طلب الامتثال
Configuration,الإعدادات
Corrected,مصححة
Could not find signed XML,تعذر العثور على ملف XML الموقع
Country,الدولة
Country Code,رمز الدولة
Currency,العملة
Device ID,معرف الجهاز
Disabled,معطل
District,الحي
Document Level,مستوى المستند
Documentation,الوثائق
Download XML,تحميل XML
Download and Set Up ZATCA CLI,تحميل وإعداد ZATCA CLI
E-invoice File,ملف الفاتورة الإلكترونية
EGS Type,نوع وحدة إنشاء الفواتير (EGS)
